sentence,word,label
Mera laptop crash ho gaya lost all my unsaved files,lost,ENG
Mera laptop crash ho gaya lost all my unsaved files,all,ENG
Mera laptop crash ho gaya lost all my unsaved files,my,ENG
Mera laptop crash ho gaya lost all my unsaved files,unsaved,ENG
Mera laptop crash ho gaya lost all my unsaved files,files,ENG
Library mein bohot noise hai I cannot concentrate here,Library,ENG
Library mein bohot noise hai I cannot concentrate here,mein,URD
Library mein bohot noise hai I cannot concentrate here,bohot,URD
Library mein bohot noise hai I cannot concentrate here,noise,ENG
Library mein bohot noise hai I cannot concentrate here,hai,URD
Library mein bohot noise hai I cannot concentrate here,I,ENG
Library mein bohot noise hai I cannot concentrate here,cannot,ENG
Library mein bohot noise hai I cannot concentrate here,concentrate,ENG
Library mein bohot noise hai I cannot concentrate here,here,ENG
Bhai notes share kar do I missed today lecture,Bhai,URD
Bhai notes share kar do I missed today lecture,notes,ENG
Bhai notes share kar do I missed today lecture,share,ENG
Bhai notes share kar do I missed today lecture,kar,URD
Bhai notes share kar do I missed today lecture,do,URD
Bhai notes share kar do I missed today lecture,I,ENG
Bhai notes share kar do I missed today lecture,missed,ENG
Bhai notes share kar do I missed today lecture,today,ENG
Bhai notes share kar do I missed today lecture,lecture,ENG
Exam pass ho gaya hard work finally paid off,Exam,ENG
Exam pass ho gaya hard work finally paid off,pass,ENG
Exam pass ho gaya hard work finally paid off,ho,URD
Exam pass ho gaya hard work finally paid off,gaya,URD
Exam pass ho gaya hard work finally paid off,hard,ENG
Exam pass ho gaya hard work finally paid off,work,ENG
Exam pass ho gaya hard work finally paid off,finally,ENG
Exam pass ho gaya hard work finally paid off,paid,ENG
Exam pass ho gaya hard work finally paid off,off,ENG
Office meeting was so boring poora time neend aati rahi,Office,ENG
Office meeting was so boring poora time neend aati rahi,meeting,ENG
Office meeting was so boring poora time neend aati rahi,was,ENG
Office meeting was so boring poora time neend aati rahi,so,ENG
Office meeting was so boring poora time neend aati rahi,boring,ENG
Office meeting was so boring poora time neend aati rahi,poora,URD
Office meeting was so boring poora time neend aati rahi,time,ENG
Office meeting was so boring poora time neend aati rahi,neend,URD
Office meeting was so boring poora time neend aati rahi,aati,URD
Office meeting was so boring poora time neend aati rahi,rahi,URD
I need a long vacation bohot burnout feel ho raha hai,I,ENG
I need a long vacation bohot burnout feel ho raha hai,need,ENG
I need a long vacation bohot burnout feel ho raha hai,a,ENG
I need a long vacation bohot burnout feel ho raha hai,long,ENG
I need a long vacation bohot burnout feel ho raha hai,vacation,ENG
I need a long vacation bohot burnout feel ho raha hai,bohot,URD
I need a long vacation bohot burnout feel ho raha hai,burnout,ENG
I need a long vacation bohot burnout feel ho raha hai,feel,ENG
I need a long vacation bohot burnout feel ho raha hai,ho,URD
I need a long vacation bohot burnout feel ho raha hai,raha,URD
I need a long vacation bohot burnout feel ho raha hai,hai,URD
Salary credit ho gayi time to pay all the pending bills,Salary,ENG
Salary credit ho gayi time to pay all the pending bills,credit,ENG
Salary credit ho gayi time to pay all the pending bills,ho,URD
Salary credit ho gayi time to pay all the pending bills,gayi,URD
Salary credit ho gayi time to pay all the pending bills,time,ENG
Salary credit ho gayi time to pay all the pending bills,to,ENG
Salary credit ho gayi time to pay all the pending bills,pay,ENG
Salary credit ho gayi time to pay all the pending bills,all,ENG
Salary credit ho gayi time to pay all the pending bills,the,ENG
Salary credit ho gayi time to pay all the pending bills,pending,ENG
Salary credit ho gayi time to pay all the pending bills,bills,ENG
Resume update kar liya hai now applying for remote jobs,Resume,ENG
Resume update kar liya hai now applying for remote jobs,update,ENG
Resume update kar liya hai now applying for remote jobs,kar,URD
Resume update kar liya hai now applying for remote jobs,liya,URD
Resume update kar liya hai now applying for remote jobs,hai,URD
Resume update kar liya hai now applying for remote jobs,now,ENG
Resume update kar liya hai now applying for remote jobs,applying,ENG
Resume update kar liya hai now applying for remote jobs,for,ENG
Resume update kar liya hai now applying for remote jobs,remote,ENG
Resume update kar liya hai now applying for remote jobs,jobs,ENG
Interview schedule ho gaya hai for next Monday,Interview,ENG
Interview schedule ho gaya hai for next Monday,schedule,ENG
Interview schedule ho gaya hai for next Monday,ho,URD
Interview schedule ho gaya hai for next Monday,gaya,URD
Interview schedule ho gaya hai for next Monday,hai,URD
Interview schedule ho gaya hai for next Monday,for,ENG
Interview schedule ho gaya hai for next Monday,next,ENG
Interview schedule ho gaya hai for next Monday,Monday,ENG
Manager ne feedback diya hai need to make some quick revisions,Manager,ENG
Manager ne feedback diya hai need to make some quick revisions,ne,URD
Manager ne feedback diya hai need to make some quick revisions,feedback,ENG
Manager ne feedback diya hai need to make some quick revisions,diya,URD
Manager ne feedback diya hai need to make some quick revisions,hai,URD
Manager ne feedback diya hai need to make some quick revisions,need,ENG
Manager ne feedback diya hai need to make some quick revisions,to,ENG
Manager ne feedback diya hai need to make some quick revisions,make,ENG
Manager ne feedback diya hai need to make some quick revisions,some,ENG
Manager ne feedback diya hai need to make some quick revisions,quick,ENG
Manager ne feedback diya hai need to make some quick revisions,revisions,ENG
Chai peene chalte hain I really need a short break,Chai,URD
Chai peene chalte hain I really need a short break,peene,URD
Chai peene chalte hain I really need a short break,chalte,URD
Chai peene chalte hain I really need a short break,hain,URD
Chai peene chalte hain I really need a short break,I,ENG
Chai peene chalte hain I really need a short break,really,ENG
Chai peene chalte hain I really need a short break,need,ENG
Chai peene chalte hain I really need a short break,a,ENG
Chai peene chalte hain I really need a short break,short,ENG
Chai peene chalte hain I really need a short break,break,ENG
Weather is so nice today baahir ghoomne chalte hain,Weather,ENG
Weather is so nice today baahir ghoomne chalte hain,is,ENG
Weather is so nice today baahir ghoomne chalte hain,so,ENG
Weather is so nice today baahir ghoomne chalte hain,nice,ENG
Weather is so nice today baahir ghoomne chalte hain,today,ENG
Weather is so nice today baahir ghoomne chalte hain,baahir,URD
Weather is so nice today baahir ghoomne chalte hain,ghoomne,URD
Weather is so nice today baahir ghoomne chalte hain,chalte,URD
Weather is so nice today baahir ghoomne chalte hain,hain,URD
Bohot zor ki bhook lag rahi hai let us order some food,Bohot,URD
Bohot zor ki bhook lag rahi hai let us order some food,zor,URD
Bohot zor ki bhook lag rahi hai let us order some food,ki,URD
Bohot zor ki bhook lag rahi hai let us order some food,bhook,URD
Bohot zor ki bhook lag rahi hai let us order some food,lag,URD
Bohot zor ki bhook lag rahi hai let us order some food,rahi,URD
Bohot zor ki bhook lag rahi hai let us order some food,hai,URD
Bohot zor ki bhook lag rahi hai let us order some food,let,ENG
Bohot zor ki bhook lag rahi hai let us order some food,us,ENG
Bohot zor ki bhook lag rahi hai let us order some food,order,ENG
Bohot zor ki bhook lag rahi hai let us order some food,some,ENG
Bohot zor ki bhook lag rahi hai let us order some food,food,ENG
Traffic bohot heavy tha I got stuck for 2 hours,Traffic,ENG
Traffic bohot heavy tha I got stuck for 2 hours,bohot,URD
Traffic bohot heavy tha I got stuck for 2 hours,heavy,ENG
Traffic bohot heavy tha I got stuck for 2 hours,tha,URD
Traffic bohot heavy tha I got stuck for 2 hours,I,ENG
Traffic bohot heavy tha I got stuck for 2 hours,got,ENG
Traffic bohot heavy tha I got stuck for 2 hours,stuck,ENG
Traffic bohot heavy tha I got stuck for 2 hours,for,ENG
Traffic bohot heavy tha I got stuck for 2 hours,2,MIX
Traffic bohot heavy tha I got stuck for 2 hours,hours,ENG
Ghar pohench kar call karta hoon currently driving,Ghar,URD
Ghar pohench kar call karta hoon currently driving,pohench,URD
Ghar pohench kar call karta hoon currently driving,kar,URD
Ghar pohench kar call karta hoon currently driving,call,ENG
Ghar pohench kar call karta hoon currently driving,karta,URD
Ghar pohench kar call karta hoon currently driving,hoon,URD
Ghar pohench kar call karta hoon currently driving,currently,ENG
Ghar pohench kar call karta hoon currently driving,driving,ENG
Electricity chali gayi hai generator bhi work nahi kar raha,Electricity,ENG
Electricity chali gayi hai generator bhi work nahi kar raha,chali,URD
Electricity chali gayi hai generator bhi work nahi kar raha,gayi,URD
Electricity chali gayi hai generator bhi work nahi kar raha,hai,URD
Electricity chali gayi hai generator bhi work nahi kar raha,generator,ENG
Electricity chali gayi hai generator bhi work nahi kar raha,bhi,URD
Electricity chali gayi hai generator bhi work nahi kar raha,work,ENG
Electricity chali gayi hai generator bhi work nahi kar raha,nahi,URD
Electricity chali gayi hai generator bhi work nahi kar raha,kar,URD
Electricity chali gayi hai generator bhi work nahi kar raha,raha,URD
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,Wi,ENG
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,Fi,ENG
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,connection,ENG
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,bohot,URD
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,slow,ENG
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,hai,URD
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,videos,ENG
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,loading,ENG
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,properly,ENG
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,nahi,URD
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,ho,URD
Wi Fi connection bohot slow hai videos loading properly nahi ho rahi,rahi,URD
Subah se rain ho rahi hai everything is totally flooded,Subah,URD
Subah se rain ho rahi hai everything is totally flooded,se,URD
Subah se rain ho rahi hai everything is totally flooded,rain,ENG
Subah se rain ho rahi hai everything is totally flooded,ho,URD
Subah se rain ho rahi hai everything is totally flooded,rahi,URD
Subah se rain ho rahi hai everything is totally flooded,hai,URD
Subah se rain ho rahi hai everything is totally flooded,everything,ENG
Subah se rain ho rahi hai everything is totally flooded,is,ENG
Subah se rain ho rahi hai everything is totally flooded,totally,ENG
Subah se rain ho rahi hai everything is totally flooded,flooded,ENG
Market ja raha hoon to buy some fresh groceries,Market,ENG
Market ja raha hoon to buy some fresh groceries,ja,URD
Market ja raha hoon to buy some fresh groceries,raha,URD
Market ja raha hoon to buy some fresh groceries,hoon,URD
Market ja raha hoon to buy some fresh groceries,to,ENG
Market ja raha hoon to buy some fresh groceries,buy,ENG
Market ja raha hoon to buy some fresh groceries,some,ENG
Market ja raha hoon to buy some fresh groceries,fresh,ENG
Market ja raha hoon to buy some fresh groceries,groceries,ENG
Gym jana hai aaj missing workouts for 3 days straight,Gym,ENG
Gym jana hai aaj missing workouts for 3 days straight,jana,URD
Gym jana hai aaj missing workouts for 3 days straight,hai,URD
Gym jana hai aaj missing workouts for 3 days straight,aaj,URD
Gym jana hai aaj missing workouts for 3 days straight,missing,ENG
Gym jana hai aaj missing workouts for 3 days straight,workouts,ENG
Gym jana hai aaj missing workouts for 3 days straight,for,ENG
Gym jana hai aaj missing workouts for 3 days straight,3,MIX
Gym jana hai aaj missing workouts for 3 days straight,days,ENG
Gym jana hai aaj missing workouts for 3 days straight,straight,ENG
Neend nahi aa rahi watching movies all night long,Neend,URD
Neend nahi aa rahi watching movies all night long,nahi,URD
Neend nahi aa rahi watching movies all night long,aa,URD
Neend nahi aa rahi watching movies all night long,rahi,URD
Neend nahi aa rahi watching movies all night long,watching,ENG
Neend nahi aa rahi watching movies all night long,movies,ENG
Neend nahi aa rahi watching movies all night long,all,ENG
Neend nahi aa rahi watching movies all night long,night,ENG
Neend nahi aa rahi watching movies all night long,long,ENG
Car breakdown ho gayi waiting for the mechanic right now,Car,ENG
Car breakdown ho gayi waiting for the mechanic right now,breakdown,ENG
Car breakdown ho gayi waiting for the mechanic right now,ho,URD
Car breakdown ho gayi waiting for the mechanic right now,gayi,URD
Car breakdown ho gayi waiting for the mechanic right now,waiting,ENG
Car breakdown ho gayi waiting for the mechanic right now,for,ENG
Car breakdown ho gayi waiting for the mechanic right now,the,ENG
Car breakdown ho gayi waiting for the mechanic right now,mechanic,ENG
Car breakdown ho gayi waiting for the mechanic right now,right,ENG
Car breakdown ho gayi waiting for the mechanic right now,now,ENG
Key mil nahi rahi searched every single corner of the room,Key,ENG
Key mil nahi rahi searched every single corner of the room,mil,URD
Key mil nahi rahi searched every single corner of the room,nahi,URD
Key mil nahi rahi searched every single corner of the room,rahi,URD
Key mil nahi rahi searched every single corner of the room,searched,ENG
Key mil nahi rahi searched every single corner of the room,every,ENG
Key mil nahi rahi searched every single corner of the room,single,ENG
Key mil nahi rahi searched every single corner of the room,corner,ENG
Key mil nahi rahi searched every single corner of the room,of,ENG
Key mil nahi rahi searched every single corner of the room,the,ENG
Key mil nahi rahi searched every single corner of the room,room,ENG
AC repair waala aaya tha fixed the cooling issue completely,AC,ENG
AC repair waala aaya tha fixed the cooling issue completely,repair,ENG
AC repair waala aaya tha fixed the cooling issue completely,waala,URD
AC repair waala aaya tha fixed the cooling issue completely,aaya,URD
AC repair waala aaya tha fixed the cooling issue completely,tha,URD
AC repair waala aaya tha fixed the cooling issue completely,fixed,ENG
AC repair waala aaya tha fixed the cooling issue completely,the,ENG
AC repair waala aaya tha fixed the cooling issue completely,cooling,ENG
AC repair waala aaya tha fixed the cooling issue completely,issue,ENG
AC repair waala aaya tha fixed the cooling issue completely,completely,ENG
Water bottle refill kar do feeling extremely dehydrated,Water,ENG
Water bottle refill kar do feeling extremely dehydrated,bottle,ENG
Water bottle refill kar do feeling extremely dehydrated,refill,ENG
Water bottle refill kar do feeling extremely dehydrated,kar,URD
Water bottle refill kar do feeling extremely dehydrated,do,URD
Water bottle refill kar do feeling extremely dehydrated,feeling,ENG
Water bottle refill kar do feeling extremely dehydrated,extremely,ENG
Water bottle refill kar do feeling extremely dehydrated,dehydrated,ENG
Kapde iron karne hain running late for the party,Kapde,URD
Kapde iron karne hain running late for the party,iron,ENG
Kapde iron karne hain running late for the party,karne,URD
Kapde iron karne hain running late for the party,hain,URD
Kapde iron karne hain running late for the party,running,ENG
Kapde iron karne hain running late for the party,late,ENG
Kapde iron karne hain running late for the party,for,ENG
Kapde iron karne hain running late for the party,the,ENG
Kapde iron karne hain running late for the party,party,ENG
Room bohot messy hai planning a deep clean this weekend,Room,ENG
Room bohot messy hai planning a deep clean this weekend,bohot,URD
Room bohot messy hai planning a deep clean this weekend,messy,ENG
Room bohot messy hai planning a deep clean this weekend,hai,URD
Room bohot messy hai planning a deep clean this weekend,planning,ENG
Room bohot messy hai planning a deep clean this weekend,a,ENG
Room bohot messy hai planning a deep clean this weekend,deep,ENG
Room bohot messy hai planning a deep clean this weekend,clean,ENG
Room bohot messy hai planning a deep clean this weekend,this,ENG
Room bohot messy hai planning a deep clean this weekend,weekend,ENG
Alarm snooze ho gaya tha woke up super late today,Alarm,ENG
Alarm snooze ho gaya tha woke up super late today,snooze,ENG
Alarm snooze ho gaya tha woke up super late today,ho,URD
Alarm snooze ho gaya tha woke up super late today,gaya,URD
Alarm snooze ho gaya tha woke up super late today,tha,URD
Alarm snooze ho gaya tha woke up super late today,woke,ENG
Alarm snooze ho gaya tha woke up super late today,up,ENG
Alarm snooze ho gaya tha woke up super late today,super,ENG
Alarm snooze ho gaya tha woke up super late today,late,ENG
Alarm snooze ho gaya tha woke up super late today,today,ENG
Breakfast skip kar diya directly having lunch today,Breakfast,ENG
Breakfast skip kar diya directly having lunch today,skip,ENG
Breakfast skip kar diya directly having lunch today,kar,URD
Breakfast skip kar diya directly having lunch today,diya,URD
Breakfast skip kar diya directly having lunch today,directly,ENG
Breakfast skip kar diya directly having lunch today,having,ENG
Breakfast skip kar diya directly having lunch today,lunch,ENG
Breakfast skip kar diya directly having lunch today,today,ENG
Dinner menu kya hai I am hoping for something special,Dinner,ENG
Dinner menu kya hai I am hoping for something special,menu,ENG
Dinner menu kya hai I am hoping for something special,kya,URD
Dinner menu kya hai I am hoping for something special,hai,URD
Dinner menu kya hai I am hoping for something special,I,ENG
Dinner menu kya hai I am hoping for something special,am,ENG
Dinner menu kya hai I am hoping for something special,hoping,ENG
Dinner menu kya hai I am hoping for something special,for,ENG
Dinner menu kya hai I am hoping for something special,something,ENG
Dinner menu kya hai I am hoping for something special,special,ENG
Mera phone discharge ho gaya tha couldn t reply on time,Mera,URD
Mera phone discharge ho gaya tha couldn t reply on time,phone,ENG
Mera phone discharge ho gaya tha couldn t reply on time,discharge,ENG
Mera phone discharge ho gaya tha couldn t reply on time,ho,URD
Mera phone discharge ho gaya tha couldn t reply on time,gaya,URD
Mera phone discharge ho gaya tha couldn t reply on time,tha,URD
Mera phone discharge ho gaya tha couldn t reply on time,couldn,ENG
Mera phone discharge ho gaya tha couldn t reply on time,t,ENG
Mera phone discharge ho gaya tha couldn t reply on time,reply,ENG
Mera phone discharge ho gaya tha couldn t reply on time,on,ENG
Mera phone discharge ho gaya tha couldn t reply on time,time,ENG
Post like aur comment kar do help me boost the reach,Post,ENG
Post like aur comment kar do help me boost the reach,like,ENG
Post like aur comment kar do help me boost the reach,aur,URD
Post like aur comment kar do help me boost the reach,comment,ENG
Post like aur comment kar do help me boost the reach,kar,URD
Post like aur comment kar do help me boost the reach,do,URD
Post like aur comment kar do help me boost the reach,help,ENG
Post like aur comment kar do help me boost the reach,me,ENG
Post like aur comment kar do help me boost the reach,boost,ENG
Post like aur comment kar do help me boost the reach,the,ENG
Post like aur comment kar do help me boost the reach,reach,ENG
Story update ho gayi hai go check it out right now,Story,ENG
Story update ho gayi hai go check it out right now,update,ENG
Story update ho gayi hai go check it out right now,ho,URD
Story update ho gayi hai go check it out right now,gayi,URD
Story update ho gayi hai go check it out right now,hai,URD
Story update ho gayi hai go check it out right now,go,ENG
Story update ho gayi hai go check it out right now,check,ENG
Story update ho gayi hai go check it out right now,it,ENG
Story update ho gayi hai go check it out right now,out,ENG
Story update ho gayi hai go check it out right now,right,ENG
Story update ho gayi hai go check it out right now,now,ENG
WhatsApp status dekha mera it was so funny,WhatsApp,ENG
WhatsApp status dekha mera it was so funny,status,ENG
WhatsApp status dekha mera it was so funny,dekha,URD
WhatsApp status dekha mera it was so funny,mera,URD
WhatsApp status dekha mera it was so funny,it,ENG
WhatsApp status dekha mera it was so funny,was,ENG
WhatsApp status dekha mera it was so funny,so,ENG
WhatsApp status dekha mera it was so funny,funny,ENG
Instagram algorithm is strange posts reach dropping continuously,Instagram,ENG
Instagram algorithm is strange posts reach dropping continuously,algorithm,ENG
Instagram algorithm is strange posts reach dropping continuously,is,ENG
Instagram algorithm is strange posts reach dropping continuously,strange,ENG
Instagram algorithm is strange posts reach dropping continuously,posts,ENG
Instagram algorithm is strange posts reach dropping continuously,reach,ENG
Instagram algorithm is strange posts reach dropping continuously,dropping,ENG
Instagram algorithm is strange posts reach dropping continuously,continuously,ENG
Password bhool gaya hoon need to reset it immediately,Password,ENG
Password bhool gaya hoon need to reset it immediately,bhool,URD
Password bhool gaya hoon need to reset it immediately,gaya,URD
Password bhool gaya hoon need to reset it immediately,hoon,URD
Password bhool gaya hoon need to reset it immediately,need,ENG
Password bhool gaya hoon need to reset it immediately,to,ENG
Password bhool gaya hoon need to reset it immediately,reset,ENG
Password bhool gaya hoon need to reset it immediately,it,ENG
Password bhool gaya hoon need to reset it immediately,immediately,ENG
Storage full ho gayi hai deleting unnecessary photos,Storage,ENG
Storage full ho gayi hai deleting unnecessary photos,full,ENG
Storage full ho gayi hai deleting unnecessary photos,ho,URD
Storage full ho gayi hai deleting unnecessary photos,gayi,URD
Storage full ho gayi hai deleting unnecessary photos,hai,URD
Storage full ho gayi hai deleting unnecessary photos,deleting,ENG
Storage full ho gayi hai deleting unnecessary photos,unnecessary,ENG
Storage full ho gayi hai deleting unnecessary photos,photos,ENG
Live stream start ho gayi join as soon as possible,Live,ENG
Live stream start ho gayi join as soon as possible,stream,ENG
Live stream start ho gayi join as soon as possible,start,ENG
Live stream start ho gayi join as soon as possible,ho,URD
Live stream start ho gayi join as soon as possible,gayi,URD
Live stream start ho gayi join as soon as possible,join,ENG
Live stream start ho gayi join as soon as possible,as,ENG
Live stream start ho gayi join as soon as possible,soon,ENG
Live stream start ho gayi join as soon as possible,as,ENG
Live stream start ho gayi join as soon as possible,possible,ENG
Video edit ho gayi hai ready to export and upload,Video,ENG
Video edit ho gayi hai ready to export and upload,edit,ENG
Video edit ho gayi hai ready to export and upload,ho,URD
Video edit ho gayi hai ready to export and upload,gayi,URD
Video edit ho gayi hai ready to export and upload,hai,URD
Video edit ho gayi hai ready to export and upload,ready,ENG
Video edit ho gayi hai ready to export and upload,to,ENG
Video edit ho gayi hai ready to export and upload,export,ENG
Video edit ho gayi hai ready to export and upload,and,ENG
Video edit ho gayi hai ready to export and upload,upload,ENG
Notification volume low tha missed your urgent message,Notification,ENG
Notification volume low tha missed your urgent message,volume,ENG
Notification volume low tha missed your urgent message,low,ENG
Notification volume low tha missed your urgent message,tha,URD
Notification volume low tha missed your urgent message,missed,ENG
Notification volume low tha missed your urgent message,your,ENG
Notification volume low tha missed your urgent message,urgent,ENG
Notification volume low tha missed your urgent message,message,ENG
Mera account hack ho gaya tha luckily recovered it back,Mera,URD
Mera account hack ho gaya tha luckily recovered it back,account,ENG
Mera account hack ho gaya tha luckily recovered it back,hack,ENG
Mera account hack ho gaya tha luckily recovered it back,ho,URD
Mera account hack ho gaya tha luckily recovered it back,gaya,URD
Mera account hack ho gaya tha luckily recovered it back,tha,URD
Mera account hack ho gaya tha luckily recovered it back,luckily,ENG
Mera account hack ho gaya tha luckily recovered it back,recovered,ENG
Mera account hack ho gaya tha luckily recovered it back,it,ENG
Mera account hack ho gaya tha luckily recovered it back,back,ENG
New update download kar lo fixed all the annoying bugs,New,ENG
New update download kar lo fixed all the annoying bugs,update,ENG
